Rk,Player,Age,From,To,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,LeBron James,19-40,2003-04,2024-25,1562,1560,37.8,9.9,19.6,.506,8.3,14.9,.556,1.6,4.7,.349,.548,5.5,7.5,.737,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27.0,jamesle01
2,Michael Jordan,21-39,1984-85,2002-03,1072,1039,38.3,11.4,22.9,.497,10.8,21.2,.510,0.5,1.7,.327,.509,6.8,8.2,.835,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,jordami01
